23;36;28;0;0;2022-04-20 08:18:18
11;5;37;0;0;2022-04-20 08:18:43
20;0;41;0;13;2022-04-20 09:39:07
15;0;43;0;2;2022-04-20 09:39:32
20;0;41;0;13;2022-04-20 10:56:25
15;0;47;0;2;2022-04-20 10:56:50
20;0;41;0;13;2022-04-20 10:59:17
15;0;43;0;2;2022-04-20 10:59:42
20;0;41;0;13;2022-04-20 11:02:50
15;0;44;0;2;2022-04-20 11:03:15
20;0;41;0;13;2022-04-20 11:04:57
15;0;44;0;2;2022-04-20 11:05:22
19;0;39;0;12;2022-04-20 11:08:01
16;0;44;0;3;2022-04-20 11:08:26
16;0;32;0;10;2022-04-21 07:41:26
17;0;47;0;5;2022-04-21 07:41:51
19;2;41;0;20;2022-04-21 07:43:04
19;2;53;0;16;2022-04-21 07:43:29
15;0;53;0;19;2022-04-21 07:43:54
21;35;27;0;0;2022-04-21 07:44:38
13;6;38;0;0;2022-04-21 07:45:03
22;35;28;0;0;2022-04-21 07:46:08
12;6;37;0;0;2022-04-21 07:46:33
20;0;41;0;13;2022-04-21 07:47:54
15;0;42;0;2;2022-04-21 07:48:19
17;0;37;0;12;2022-04-21 13:56:38
17;0;37;0;12;2022-04-21 14:02:39
17;0;37;0;12;2022-04-21 14:03:23
16;24;16;0;0;2022-04-21 15:31:15
12;15;26;0;0;2022-04-21 15:31:40
10;2;32;0;0;2022-04-21 15:32:05
15;0;21;0;8;2022-04-22 14:25:50
14;0;37;0;5;2022-04-22 14:26:15
7;0;34;0;3;2022-04-22 14:26:40
17;18;18;0;2;2022-04-22 14:28:37
15;15;18;0;17;2022-04-22 14:29:02
1;11;22;0;25;2022-04-22 14:29:27
5;14;20;0;38;2022-04-22 14:29:52
14;14;13;0;1;2022-04-22 14:33:23
6;12;15;0;11;2022-04-22 14:33:48
3;8;18;0;17;2022-04-22 14:34:13
12;14;14;0;2;2022-04-22 14:36:18
6;9;17;0;14;2022-04-22 14:36:43
4;9;20;0;16;2022-04-22 14:37:08
16;17;15;0;1;2022-04-25 17:03:43
